farm_id,owner,region,area_hectares,type,created_at
03919fd3-c0e2-41d3-91e5-b0fa838a28d5,Eric Wilcox,Hawaii,275.29,Élevage,2022-01-01
6e6e30e7-d6e0-434e-aa7c-f717be069646,Lauren Bartlett,Minnesota,476.98,Élevage,2022-08-24
8d7f0bf0-0ddd-4186-9ef2-9fa05363e537,Daniel Herrera,West Virginia,474.67,Élevage,2025-07-21
2c5b59df-f6f8-4545-806e-e4f5c2d2471e,Sara Tran,Wisconsin,4.18,Maraîchage,2020-11-30
a2684ecb-ae01-4ab2-998f-5059cd7e3983,Joshua Melendez,North Carolina,230.95,Maraîchage,2022-08-15
fc450f80-a659-43f1-9e6a-3c8e4e1bd759,Emily Pennington,South Carolina,314.35,Maraîchage,2021-03-23
de5bdade-e70c-47b7-a41e-2311df554560,Daniel Mills,California,375.33,Élevage,2022-07-27
2832511e-7827-4f2c-90e8-98a9c6408063,Nathaniel Short,Arkansas,294.23,Mixte,2020-09-13
daeaed7b-d4b3-40ea-9fec-275b157159e4,John Frank,Indiana,50.4,Céréales,2022-03-10
b24d427d-b208-4860-b119-fbb371b11e83,Richard Elliott,Illinois,157.85,Maraîchage,2024-10-20
ac311ae4-afbe-45ee-8d29-3b9ae178ff7d,Tonya Jones,Oregon,273.86,Élevage,2021-12-17
8e540668-d8b7-4fa9-8f6c-8e9bb2bf56bf,Ronald Brown,North Carolina,197.49,Élevage,2022-01-19
0041cdb2-1111-4590-92a9-fc87a810c64b,Bruce Hendricks,Nevada,464.12,Mixte,2025-07-19
96530a3f-5238-4611-abfa-6cce5fff4b6c,Makayla Montgomery,Delaware,485.29,Maraîchage,2020-09-04
40b33096-dbf6-4287-bc51-3a94126583a5,Dylan Lucas,Nevada,204.79,Mixte,2023-05-11
d129a965-daba-4a91-8ae2-01f6931f1ce7,William Hood,Kansas,135.13,Élevage,2022-07-07
51875acb-1fee-482f-b059-bb6f496c103a,Daniel Goodman,Wisconsin,90.78,Élevage,2021-06-30
9c6ce3b3-3d56-4e5e-a7ad-06f307710f68,Jessica Mcdonald,Arkansas,247.76,Maraîchage,2025-03-25
f89e6ee4-ad6f-4582-8335-075b05d1dd35,Benjamin Christian,Colorado,463.71,Céréales,2025-04-21
a3369fb0-69df-4a04-aafa-862dff391a67,Richard Young,Vermont,50.83,Maraîchage,2021-04-23
719b8292-6bfe-451e-bcec-229d4846a788,Debra Sanders,Kentucky,183.5,Maraîchage,2023-09-28
fdb47405-e04f-404f-a008-630e277d4b61,Mary Robinson,New York,357.02,Mixte,2024-03-23
a98bff83-1e2c-4658-bed4-071ef1355d52,Casey Young,Maine,180.87,Mixte,2023-01-06
814d21f2-9932-493e-883f-f43520502350,Mr. Kenneth Anderson,Nebraska,213.23,Mixte,2024-08-04
227a8139-d565-4825-b0f4-7cbbfbb77396,Heidi Smith,Kentucky,314.19,Céréales,2022-03-31
c4e0156c-9c26-4dd6-9e63-8e01eac72182,Richard Butler,Nevada,44.99,Céréales,2022-05-01
1a5113b3-aa0a-4363-8b57-b95d92a698c4,Andrew Mclaughlin,Utah,171.2,Maraîchage,2021-05-30
6479397c-8dcd-4564-8721-9c3d0b698b59,Daniel Rivera,North Dakota,102.73,Mixte,2024-11-21
29d4325d-01f2-4659-ad7c-e21dd423bf8d,Elizabeth Butler,Utah,432.35,Élevage,2023-10-04
375b53c6-258f-4329-9321-3696faab55d0,Kristen Martin,Connecticut,374.76,Mixte,2022-06-11
6e1c99e2-b1be-4389-ad96-f20b6343bb6e,Matthew Cooke,South Carolina,184.3,Élevage,2021-04-08
94f82065-d9e1-4f51-8009-1acbbeec060c,Kyle Nichols,New Mexico,145.65,Maraîchage,2021-10-24
4bce7a13-de39-46ae-917a-4a75a653e3e5,Jason Ortiz,Rhode Island,370.01,Mixte,2023-02-20
27335b47-ab46-4dc7-92f2-45a073823e4e,Tamara Allen,Vermont,311.0,Maraîchage,2025-03-09
c15823b9-acb0-4e72-ba2c-80ff335cf4fd,Brittany Santiago,Indiana,130.14,Maraîchage,2020-08-15
716aaeda-407d-46d3-bea4-897029493531,Jeffrey Ellis,Missouri,293.56,Mixte,2022-08-04
7a695a2f-ce2f-4293-bf4b-06630f3a232f,Kyle Matthews,Florida,292.4,Céréales,2025-06-02
dbb7df5f-be61-4366-b6cd-4e3431c82e35,Holly Wood,Massachusetts,346.63,Mixte,2021-05-05
f2a1d2cc-c31b-44ce-a2ce-1b968a5eec11,Brandon Obrien,California,307.23,Céréales,2022-06-12
9c657a69-e9cc-40b6-b29d-393f3bf81058,Brandon Rosales,North Carolina,323.76,Élevage,2021-11-04
ba645a17-838e-44ac-a7a4-124415fc5f35,Christina Stafford,Alaska,462.14,Céréales,2024-01-31
